usdm_current,AHZ
usdm120103,AIA
usdm101228,AIB
usdm101221,AIC
usdm101228,BE
usdm101221,BEB
usdm101214,BEC
usdm101207,BED
usdm101130,BEE
usdm101123,BEF
usdm101116,BEG
usdm101109,BEH
usdm101102,BEI
usdm101026,BEJ
usdm101019,BEK
usdm101012,BEL
usdm101005,BEM
usdm100928,BEN
usdm100921,BEO
usdm100914,BEP
usdm100907,BEQ
usdm100831,BER
usdm100824,BES
usdm100817,BET
usdm100810,BEU
usdm100803,BEV
usdm100727,BEW
usdm100720,BEX
usdm100713,BEY
usdm100706,BEZ
usdm100629,BF
usdm100622,BFA
usdm100615,BFB
usdm100608,BFC
usdm100601,BFD
usdm100525,BFE
usdm100518,BFF
usdm100511,BFG
usdm100504,BFH
usdm100427,BFI
usdm100420,BFJ
usdm100413,BFK
usdm100406,BFL
usdm100330,BFM
usdm100323,BFN
usdm100316,BFO
usdm100309,BFP
usdm100302,BFQ
usdm100223,BFR
usdm100216,BFS
usdm100209,BFT
usdm100202,BFU
usdm100126,BFV
usdm100119,BFW
usdm100112,BFX
usdm100105,BFY
usdm111227,BFZ
usdm111220,BG
usdm111213,BGA
usdm111206,BGB
usdm111129,BGC
usdm111122,BGD
usdm111115,BGE
usdm111108,BGF
usdm111101,BGG
usdm111025,BGH
usdm111004,BGH
usdm111018,BGI
usdm110927,BGI
usdm111011,BGJ
usdm110920,BGJ
usdm110913,BGK
usdm110906,BGL
usdm110830,BGM
usdm110823,BGN
usdm110816,BGO
usdm110809,BGP
usdm110802,BGQ
usdm110726,BGR
usdm110719,BGS
usdm110712,BGT
usdm110705,BGT
usdm110628,BGU
usdm110621,BGV
usdm110614,BGW
usdm110607,BGX
usdm110531,BGY
usdm110524,BGZ
usdm110517,BH
usdm110510,BHA
usdm110503,BHB
usdm110426,BHC
usdm110419,BHD
usdm110412,BHE
usdm110405,BHF
usdm110329,BHG
usdm110322,BHH
usdm110315,BHI
usdm110308,BHJ
usdm110301,BHK
usdm110222,BHL
usdm110215,BHM
usdm110208,BHN
usdm110201,BHO
usdm110125,BHP
usdm110118,BHQ
usdm110111,BHR
usdm110104,BHS
usdm120221,BQW
usdm120214,BQX
usdm120207,BQY
usdm120131,BQZ
usdm120124,BRA
usdm120117,BRB
usdm120110,BRC
usdm120228,DRAAB
usdm120306,DRAAC
usdm120313,DRAAD
usdm120320,DRAAE
usdm120327,DRAAF
usdm120403,DRAAG
usdm120410,DRAAH
usdm120417,DRAAI
usdm120424,DRAAJ
usdm120501,DRAAK
usdm120508,DRAAL
usdm120515,DRAAM
usdm120522,DRAAN
usdm120529,DRAAO
usdm120605,DRAAP
usdm120612,DRAAQ
usdm120619,DRAAR
usdm120626,DRAAS
usdm120703,DRAAT
usdm120710,DRTAAA
usdm120717,DRTAAB
usdm120724,DRTAAC
usdm120731,DRTAAD
usdm120807,DRTAAE
usdm120814,DRTAAF
usdm120821,DRTAAG
usdm120828,DRTAAH
usdm120904,DRTAAI
usdm120911,DRTAAJ
usdm120918,DRTAAK
usdm120925,DRTAAL
usdm121002,DRTAAM
usdm121009,DRTAAN
usdm121016,DRTAAO
usdm000104,DRTAAP
usdm000111,DRTAAQ
usdm000118,DRTAAR
usdm000125,DRTAAS
usdm000201,DRTAAT
usdm000208,DRTAAU
usdm000215,DRTAAV
usdm000222,DRTAAW
usdm000229,DRTAAX
usdm000307,DRTAAY
usdm000314,DRTAAZ
usdm000321,DRTABA
usdm000328,DRTABB
usdm000404,DRTABC
usdm000411,DRTABD
usdm000418,DRTABE
usdm000425,DRTABF
usdm000502,DRTABG
usdm000509,DRTABH
usdm000516,DRTABI
usdm000523,DRTABJ
usdm000530,DRTABK
usdm000606,DRTABL
usdm000613,DRTABM
usdm000620,DRTABN
usdm000627,DRTABO
usdm000704,DRTABP
usdm000711,DRTABQ
usdm000718,DRTABR
usdm000725,DRTABS
usdm000801,DRTABT
usdm000808,DRTABU
usdm000815,DRTABV
usdm000822,DRTABW
usdm000829,DRTABX
usdm000905,DRTABY
usdm000912,DRTABZ
usdm000919,DRTACA
usdm000926,DRTACB
usdm001003,DRTACC
usdm001010,DRTACD
usdm001017,DRTACE
