3159731 function calls (3159649 primitive calls) in 262.009 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.643    0.643  262.074  262.074 makemap:24(<module>)
       11    6.694    0.609  252.225   22.930 makemap:145(getLayers)
    86993    0.492    0.000  208.307    0.002 makemap:108(getwkt)
    86993  198.293    0.002  198.293    0.002 {_gdal.Open}
     6059    0.402    0.000  148.562    0.025 makemap:94(getproj)
    80526   23.680    0.000   23.680    0.000 {open}
    37677    0.084    0.000   23.424    0.001 makemap:279(openMapfileForWriting)
    42847   10.760    0.000   11.112    0.000 makemap:130(__init__)
    86991    0.204    0.000    9.521    0.000 gdal.py:712(GetProjection)
    86991    9.318    0.000    9.318    0.000 {_gdal.Dataset_GetProjection}
    80934    1.133    0.000    2.722    0.000 makemap:115(formatproj)
    37679    0.331    0.000    2.061    0.000 makemap:100(interp)
    37684    1.440    0.000    1.440    0.000 {method 'close' of 'file' objects}
    80934    0.158    0.000    1.292    0.000 re.py:164(split)
   113032    1.225    0.000    1.290    0.000 {eval}
   124737    1.181    0.000    1.181    0.000 makemap:136(render)
    60839    0.126    0.000    1.072    0.000 re.py:144(sub)
    79462    1.022    0.000    1.022    0.000 {method 'write' of 'file' objects}
    80934    0.814    0.000    0.814    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
       36    0.786    0.022    0.786    0.022 {posix.listdir}
    60839    0.764    0.000    0.764    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
   194499    0.391    0.000    0.620    0.000 re.py:226(_compile)
    37679    0.046    0.000    0.308    0.000 re.py:169(findall)
   849996    0.285    0.000    0.285    0.000 {method 'append' of 'list' objects}
     6057    0.085    0.000    0.282    0.000 osr.py:248(__init__)
     6057    0.010    0.000    0.238    0.000 osr.py:720(ExportToProj4)
     6057    0.033    0.000    0.233    0.000 makemap:125(getModDate)
     6057    0.228    0.000    0.228    0.000 {_osr.SpatialReference_ExportToProj4}
   200569    0.223    0.000    0.223    0.000 {method 'get' of 'dict' objects}
    37679    0.195    0.000    0.195    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
        4    0.136    0.034    0.136    0.034 {posix.system}
     6057    0.119    0.000    0.119    0.000 {_osr.new_SpatialReference}
