         166433114 function calls (166432988 primitive calls) in 108.465 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.063    0.063  108.465  108.465 makeviewerconfig:3(<module>)
     7745   39.833    0.005  104.716    0.014 makeviewerconfig:107(getLID)
        8    0.414    0.052   55.557    6.945 makeviewerconfig:174(getNRTLayers)
     7836   12.984    0.002   36.478    0.005 {sorted}
 33027859   15.536    0.000   23.494    0.000 makeviewerconfig:119(<lambda>)
 33027859   13.288    0.000   13.288    0.000 {method 'split' of 'str' objects}
 66065891   12.954    0.000   12.954    0.000 {method 'append' of 'list' objects}
 33035650    7.961    0.000    7.961    0.000 {method 'lower' of 'str' objects}
        7    0.059    0.008    5.101    0.729 makeviewerconfig:658(get2008NRTLayers)
        7    0.057    0.008    4.854    0.693 makeviewerconfig:388(get2013NRTLayers)
        7    0.058    0.008    4.852    0.693 makeviewerconfig:604(get2009NRTLayers)
        7    0.057    0.008    4.845    0.692 makeviewerconfig:712(get2007NRTLayers)
        7    0.057    0.008    4.841    0.692 makeviewerconfig:766(get2006NRTLayers)
        7    0.057    0.008    4.841    0.692 makeviewerconfig:280(get2015NRTLayers)
        7    0.057    0.008    4.811    0.687 makeviewerconfig:334(get2014NRTLayers)
        7    0.052    0.007    4.203    0.600 makeviewerconfig:442(get2012NRTLayers)
        7    0.052    0.007    4.173    0.596 makeviewerconfig:550(get2010NRTLayers)
        7    0.052    0.007    4.170    0.596 makeviewerconfig:496(get2011NRTLayers)
        7    0.039    0.006    2.735    0.391 makeviewerconfig:226(get2016NRTLayers)
        1    0.026    0.026    2.463    2.463 makeviewerconfig:143(getDRTLayers)
     7745    1.868    0.000    1.868    0.000 makeviewerconfig:97(checkListForItem)
   159359    0.188    0.000    0.788    0.000 re.py:144(sub)
        1    0.582    0.582    0.582    0.582 {posix.system}
       85    0.492    0.006    0.492    0.006 {posix.listdir}
   244097    0.264    0.000    0.395    0.000 re.py:226(_compile)
